Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Description
Library,,,,,org.apache.tomcat.embed,tomcat-embed-core,10.1.10,,Apache-2.0,,,,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.10?type=jar,False,,,,,,,,,,0a7406ed5d082109b973dbac4de22b2b,7423236b34aa78d6f36592b2aa294d7c8469f219,7c50655e94ca4e32ffc9ee0f96aa378722a145fe063cda2f2c3ae307be27196b,d0213ada3f8e2724a1061be3a8c7611f8b9c61f6820edb8a496936aa0c6a74ded6be6aac931c447edb006e1d91cbe061,91c11ab122d7c166ca0cba744a95437ae29562e2171758d826201ef8b55abb25302e2c9714f18138febc2ce53690d30e9583a455455a2d97386e7a61799d5b6a,60a95f1b1a82f9c4ca5e3e13ad16be627416fbb1627731a91fdceab8265a4aa8,304a2a5419d0c5cc469efbce19757a6b81ea3fc803975d75afc5e582b2f71b43159277513ea3acde9a53727be7a487c9,7e90cd225d759e6fadb69c852f07ea81699e2a621f9c4e33bb883b0d8c61e0e7aabbea3958a9e707ee25a80f1b340f12d0c57b9d4dd273d2e53ff18fe2709e26,,,,,Core Tomcat implementation
Library,,,,,ch.qos.logback,logback-core,1.4.8,,EPL-1.0,GNU Lesser General Public License,,,pkg:maven/ch.qos.logback/logback-core@1.4.8?type=jar,False,,,,,,,,,,b45855e7af9196f7fb92fddab4493dac,3fba9c105e0efc5ffdcda701379687917d5286f7,123453142b41b627bc0d035d1fee8c1ed4deafacfbdacbe3a238934c19a0627a,ea0d1445c6024d896d2932d095d2b28c82ec990b7e9a7d7621beca45ccb23105a5e167db01cc76d806a9e17fff12d34e,1b344c8c62adde467187c4b145323889968e5fdc7873889d5a29de051498f17f2ecc351f7bf4f9f0670964043b0b1cc29772756f03185edefacf5ddd215a9165,58958bc47d2f71ca3d363a704f7cc9e0771715534175556113ffdde46ca58b11,233f06be2317e80835e120383d9fc7ec1ba29a97efdc0e6a1ac49f6661e6b8a135fc99983c2a813cc04c8c4635313abf,e4b97864c0ee6ccadb8307b7c4ef924c1908c725d352dca20849c9b0134984ad6157a0468cca0679154dfebca8cc5c395d4d6c9c7dea3a2e744b4ba8c223cb36,,,,,logback-core module
Library,,,,"VMware, Inc.",org.springframework.boot,spring-boot-starter-web,3.1.1,,Apache-2.0,,,,pkg:maven/org.springframework.boot/spring-boot-starter-web@3.1.1?type=jar,False,,,,,,,,,,c1e450ad7c1d258780cac1807566663c,0f2c2d9e35430e4b4a98ad91780bb9b2d1deec08,ea6b38b5db586cfab89b73a47518168eff7b20b03ab54371eaa59a6ba8cf8570,dc6b31927978ea5cea3c60844d869b9e0dfbb032ababb64162cbe7e7eb2a8694fe3df575d2678de13f5568cfc9e87ab9,2b48ba17e453349590e2b6382ce18d971632a3ab42cd1d789b5538914f7078bed4e886d6cae1e48454c4aee5d32eba05ce32958c30b166f5e8b9f64e403e5a07,2bca01c3381c15e626d05ef10d08c0dbf6706f7f71ea39a3dd77922568d5b105,cd2af5cdf5fe06963540a04b0f930dcdcee3282fdee27f89dc1dae55b23579ed89fc194439a343f753fca39022647bf9,c8f7c0316a2a5b4aed11ca7aece20e471cd44153ff0b7ea686322a83cc9b4d76b097a882ac49eeaea11046a2a46230e22d766cc813a3e1a4517fd5c89aa573c9,,,,,"Starter for building web, including RESTful, applications using Spring MVC. Uses Tomcat as the default embedded container"
Library,,,,"VMware, Inc.",org.springframework.boot,spring-boot-starter,3.1.1,,Apache-2.0,,,,pkg:maven/org.springframework.boot/spring-boot-starter@3.1.1?type=jar,False,,,,,,,,,,f056bb770cebefe3a635b657a9e70703,cf74eeaef5a265c75dd89fea829391bf08efdb6c,4af9559271ae2b16d66669afe50d06d43d9907ed697f374a3e0f9a852a317291,c3b6124ad5a01b2603eb620f74058055245078c3517c6122cf5907740818543654cc13223567643ca6a3f062f39b928b,16dd852588c86b6c5ed159195a8710138afdb129be24047eb988b38a878dbab8ed5272f5a016a778a3e79a9929bc9b6bd2197f0b6e70d5289ccf560e0a28ecdd,9bc6225e3e943a3377fc451b83beeb8d7075c241686056fff5216c2e4eab51f6,533fbc47222033656da11b196299a8a693e6cde31151801227dbe7d6c53442e17d79f2957f31649903646901cd8c7fb8,a5f3c277433d0817aebcd049548775cb28d920d5540191e9699dd08047a7ea18832abea2668be419d083952c134bc0d6dee24f5ba04950d19b7b3aaf6bd22131,,,,,"Core starter, including auto-configuration support, logging and YAML"
Library,,,,,org.apache.logging.log4j,log4j-to-slf4j,2.20.0,,Apache-2.0,,,,pkg:maven/org.apache.logging.log4j/log4j-to-slf4j@2.20.0?type=jar,False,,,,,,,,,,11a04aba126ad458aee40988935446a5,d37f81f8978e2672bc32c82712ab4b3f66624adc,88e731d7f455da59dfa08769527f87d6c496053a712637df7b999f6977933a2c,465e76a0940b7e1d948bfc2967a7fa8e4b36fa5a57c716dad9f02d1155e52498432882602bedc8d9d16072f429943ee3,961209ca87ba7d0272840bcc46a4177aaa216cc971a42bc6f4ad855c733ab3cae9c7f0fe08ed6197a04b2d4fce3bb428f160ed22365579ed90cd8868c8afd1c1,e1fb05790659108c6dcbaaf61242cc51f7e391d24a35c30fe9e1e6a118aaa8fd,0047d23870c9f5be3b826d52add7c51aa32d9572bcf08f44feb86dab83da6fe9f3da877b35cfbc5e77af9f4dd3eb0f86,0640c4ff54a2344aa2dbdde9e1f6e7fbaa1ecb1713ca70ccfb5e72b26806f9059a94d9bd4eab1bd1a9cfeaadf55036c3d5ab53f5d2bf71cf0cd9e54fb3515437,,,,,The Apache Log4j binding between Log4j 2 API and SLF4J.
Library,,,,,org.apache.tomcat.embed,tomcat-embed-el,10.1.10,,Apache-2.0,,,,pkg:maven/org.apache.tomcat.embed/tomcat-embed-el@10.1.10?type=jar,False,,,,,,,,,,5244288f54bd3cb5f2da1058b5d0003a,717033c0417fdc7e794b382c066b7e78f6029268,125d0bed2f3214d4bb0ab7b5cb8f71db306875feb77c2f0f480d1723b385b8c7,f8bdb593738f402b719e3a81167f5c6692985fff084a30502f41d5036444131dc889f4e5578186340140b8b15ff562ee,6aef30606b9f73fee647349ccba50bf656cd6c9039f1316b9040fd279c729ad1f3b313277b50af6a6b790339ef061060674e94481675af1507424acf81f79aa5,b443f946e28a3a225624e563d821aedab7e905442dff70ca5fce15ada9bd8657,2f8febf4cb334ff44901188f5135d52d5d2ef540c885218c9c4a2c55479df1d19361d8fd7d54c27e267904ef922a781d,f1f3dd16c54315a47ee69d5521fe488885d5d2be0c2d716310f7bf50bb099fa8b36a2b89d2ad9a5ac36cbab6f00fb936b9703f81a9b814955fb79a9121cad996,,,,,Core Tomcat implementation
Library,,,,,ch.qos.logback,logback-classic,1.4.8,,EPL-1.0,GNU Lesser General Public License,,,pkg:maven/ch.qos.logback/logback-classic@1.4.8?type=jar,False,,,,,,,,,,dfeae843fd558dd43e9ce59c30621469,f00ba91d993e4d14301b11968d3cacc3be7ef3e1,e6d9c1208bf664c427b9f5fe970b8372f794247473693c3f5d2440fa6b7bb527,ec31b247c9cc42eeca33842a144aeb8347a16e55e02b678b1dc971d19725d698f96fedc58ad59bf71264a61dfabbb798,4eea77828e52262bb7299e9844bfcd675f73fc56d5cb494cdd3bdb0340eafb9261e1176c5f93bcfffd6d8c65f76cb785e86478ffaf23bf4c036bebf1588dccdc,0bbe72bc8eeeea1e41d86defe2ba9024c3cf50b97c7e2947435b5defe9ac1c19,58b6b48238fb19f8dfe3d2fde288fc872a343698a607cacf7d0606872916905c462b68617d556b5d52fd90c3bd6a3a08,962b05d91e001bc003e458947efff8f0157e1dc195922c99d7f4a0fa86081ae54fd7d876e958c198dc0780e333c98e206ddacdad8a1dd0ed735ab0d154a055e3,,,,,logback-classic module
Library,,,,Spring IO,org.springframework,spring-expression,6.0.10,,Apache-2.0,,,,pkg:maven/org.springframework/spring-expression@6.0.10?type=jar,False,,,,,,,,,,f2e176910117ba5788fbf305d0e4a594,bd8c93e473e713fe9150a772487507a8e600d5f1,af44e25931b885dfe23dc700fbcc1c1e3b6dfd19fbee52aab46d89efd45bca69,d88deb434828c0bfcde597a477840920d350ffc3b89025dcd8a814a08722b0d170df4a9e370dc327d28e2859e67e2968,56654161495e46362aaa7f64bf2adb28f0f7f66bc315000e528e3b77757e3a44b3a5d36347077964d1f012588e34dc5fca46750ab210e0fde31fc7b02dc6d936,bac2ff9188cd27d0683024678b739795e7e448fafb3803d2c6c0ab717908ea39,6b91b0228cbc9a2be37a52301233146493955bba1a4ccd4a246d95b3d4a0c6e1e0ec50becbc3defb817aaa713874a212,f7a141e013592f7548f83de162ca3f654b38d81dc84b7144ff9fefe645003227251fb793c6eb76241a4c891ec40f15021994917191c568280c9ad69ad73e5706,,,,,Spring Expression Language (SpEL)
Library,,,,"VMware, Inc.",org.springframework.boot,spring-boot,3.1.1,,Apache-2.0,,,,pkg:maven/org.springframework.boot/spring-boot@3.1.1?type=jar,False,,,,,,,,,,c232ad7dc259c6ebab6e0835707e8870,0f8f80c1453c8fe0e08a6235f983d8daf571d3e3,3b0037f887423d8b73d375f72cf97769b68f918b31898b7d401f832b9a4889ba,2a90b390b4854b957ac1d4d890e42ee28d9bbe6e2dd781dee64c6a23bcbd6377e5848a959f3a3edb7bc8877798db0497,7181a4a697cb40bf5fa4c96517ff734f180116169ab75de8c764a3883820ae0775de289d762d0ea7cfb73c3821945b1371d3510e14dbe4a1180ba5eef9d1487a,1f9943320adb9a61d79be0b58295255a996ee11f88a5c73c80aed3d6b53d8f94,50e6881be0df6d97650db6a99cefe3d4504defeae734cd107bc40b64b0f12be4fb77b817076a9ef321faee6983f1129a,302f7cacbb8da364fed2f7f0cf3c83e442d555fe8322b502f493159d9429cc10d75129a4ef4a9b33efae426ac7c006363d386fe0bb3fba4763cf3649e6f246b3,,,,,Spring Boot
Library,,,,,com.fasterxml.jackson.core,jackson-databind,2.15.2,,Apache-2.0,,,,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.15.2?type=jar,False,,,,,,,,,,20ac0d0526a456274409fa852eb74087,9353b021f10c307c00328f52090de2bdb4b6ff9c,0eb2fdad6e40ab8832a78c9b22f58196dd970594e8d3d5a26ead87847c4f3a96,cced300ea06748cc30cdabf1a0a8e45749d3d2a52740975acd858bd13b83458d535a52fc4cc0eb8991ebd3638b9688ec,edf622f3d2bb2cdf308875e467f28eafdd581c6ad47992a2b49a2c803b597c7fe4330c8f887687599c8a6a529d8b11054f8b354b7ddddd2bf904ef347d4f1cd2,400677b87f766708abe38aea66c8564cb422cd271208e926a0c2eac99b64cd92,c4a29f5075cc31b52aabfc8f656ee761b075954fe89469e76aef7a563d93ee71653310967b68f89ce25ed26241c0bda9,0a02353d0afa97f7cb85f1f81ee221cf4425fbde1e2d1b6b7bd8fe0d5d2fcb5dbba8b6fe9c79b500c71fdac8accb77eccebe0853fd8c37bd34aa578796b8a81a,,,,,General data-binding functionality for Jackson: works on core streaming API
